Name,Num,Mobile
# Note: The source field of the tweet, must be encoded to ascii from unicode, with errors ignored (str.encode('ascii', 'ignore')) to get a match
"<a href=""http://www.message-broadcaster.com"" rel=""nofollow"">Message Broadcaster</a>",134,FALSE
"<a href=""http://www.loopt.com"" rel=""nofollow"">Loopt</a>",29,TRUE
"<a href=""http://www.linksalpha.com/"" rel=""nofollow"">LinksAlpha</a>",63,FALSE
"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>",131,FALSE
"<a href=""http://www.linkedin.com/"" rel=""nofollow"">Linkedin Events</a>",67,FALSE
"<a href=""http://www.likemytweets.com/"" rel=""nofollow"">Like My Tweets</a>",123,FALSE
"<a href=""http://www.lg.com"" rel=""nofollow"">LG Phone</a>",13,TRUE
"<a href=""http://www.KIN.com"" rel=""nofollow"">KIN</a>",20,TRUE
"<a href=""http://www.jobcircle.com"" rel=""nofollow"">JobCircle</a>",11,FALSE
"<a href=""http://www.jmobileapps.com/"" rel=""nofollow"">Yak Free</a>",19,TRUE
"<a href=""http://www.htc.com"" rel=""nofollow"">HTC Peep</a>",757,TRUE
"<a href=""http://www.htc.com"" rel=""nofollow"">  HTC Peep</a>",254,TRUE
"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>",49,FALSE
"<a href=""http://www.google.com/support/youtube/bin/answer.py?hl=en&answer=164577"" rel=""nofollow"">Google</a>",1838,FALSE
"<a href=""http://www.gokpop.com/"" rel=""nofollow"">GoKpop Awards</a>",13,FALSE
"<a href=""http://www.flook.it/"" rel=""nofollow"">Flook, the location browser</a>",94,FALSE
"<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>",19,TRUE
"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",1793,FALSE
"<a href=""http://www.exaspring.com"" rel=""nofollow"">ExaSpring Information Services</a>",13,FALSE
"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",703,MIXED
"<a href=""http://www.digsby.com/?utm_campaign=twitter"" rel=""nofollow"">Digsby</a>",42,FALSE
